COMB Title,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
AQUAMAN: ATLANTIS,28.10000038,19.50,0.00,0.00,0,53,0,42,11136,0.19,79.15%,16.00,15501,0.24
ARC THE LAD: TWILIGHT,74.90000153,40.00,0.00,0.00,0,15,0,28,100934,3.67,87.09%,32.00,133217,4.22
ARCTIC THUNDER,49.85000038,44.00,0.00,0.00,0,6,0,1,148485,5.88,83.33%,37.00,203933,7.05
ARMED AND DANGEROUS,77.09999847,50.00,0.00,0.00,0,7,0,2,62092,2.10,95.13%,32.00,68624,2.21
ARMORED CORE 2,74.19999695,50.00,0.00,0.00,0,2,0,0,124142,6.07,70.70%,38.00,227795,8.58
ARMORED CORE 3,74.19999695,49.00,4.07,10.14,0,7,2,5,141360,5.85,87.45%,38.00,174807,6.69
ARMORED CORE: NEXUS,74,50.00,5.85,15.98,0,1,3,16,34035,1.69,76.46%,49.00,45167,2.21
ARMORED CORE2:ANOTHER,73.30000305,51.00,6.07,6.07,0,1,1,3,79562,4.07,91.66%,51.00,87797,4.44
ARMY MEN AIR ATTACK 2,68.59999847,37.00,0.00,0.00,2,14,0,0,43268,1.54,82.44%,31.00,59528,1.86
ARMY MEN GREEN ROGUE,37.29999924,48.00,0.00,0.00,2,14,0,0,31966,1.45,75.99%,37.00,51681,1.91
ARMY MEN SARGES HERO 2,55.20000076,40.00,0.00,0.00,2,14,0,0,52387,2.03,84.47%,34.00,70436,2.40
ARMY MEN: RTS,65.79999924,22.50,2.17,5.16,1,3,4,3,49781,1.36,86.50%,22.50,63091,1.57
ARMY MEN: SARGE'S WAR,52.14999962,15.50,0.15,0.15,1,36,1,97,81856,1.26,75.68%,15.00,110478,1.67
ARMY MEN:ELITE MISSNS,48.09999847,25.00,0.00,0.00,0,20,0,18,6178,0.15,81.86%,22.00,8018,0.18
ARX FATALIS,74,35.00,0.00,0.00,0,8,0,5,25657,0.74,95.36%,28.00,27431,0.77
ASTERIX & OBELIX:KICK,63.5,20.00,0.00,0.00,0,25,0,42,6576,0.13,58.75%,20.00,11275,0.22
ASTRO BOY,55.59999847,30.00,0.00,0.00,0,25,0,42,13583,0.40,63.54%,24.00,26048,0.64
ATARI ANTHOLOGY,68.54999924,19.50,0.00,0.00,0,4,0,7,174641,3.35,51.31%,19.50,335881,6.53
ATHENS 2004,64.90000153,40.00,0.00,0.00,0,1,0,9,82933,3.28,90.49%,38.00,95392,3.63
ATV OFF ROAD FURY,83.19999695,50.00,0.00,0.00,0,23,0,4,581454,25.80,52.50%,29.00,1688361,49.13
ATV OFF ROAD FURY 2,81.59999847,40.00,25.80,25.80,0,15,1,28,1067768,40.32,82.69%,34.00,1421288,48.76
ATV OFF ROAD FURY 3,,39.00,40.32,66.11,0,10,2,62,318323,12.57,76.66%,39.00,416443,16.39
ATV QUAD POWER RACE 2,71.79999797,24.33,0.00,0.00,0,54,0,67,467890,11.49,73.09%,22.33,702235,15.72
AUTO MODELLISTA,62.60000102,39.33,0.00,0.00,0,48,0,88,139749,5.88,92.37%,35.00,168205,6.36
AZURIK: RISE PERATHIA,53.70000076,49.00,0.00,0.00,0,1,0,0,123416,5.37,94.03%,41.00,139083,5.71
BACKYARD BASEBALL,70.15000153,27.50,8.89,8.89,0,9,2,15,236913,6.51,90.76%,26.50,271764,7.17
BACKYARD BASKETBALL,72.59999847,29.00,0.00,0.00,0,4,0,5,203421,5.34,91.99%,26.00,227393,5.80
BACKYARD FOOTBALL,65.19999695,49.00,0.00,0.00,0,4,0,0,123983,3.55,83.49%,26.00,162229,4.26
BACKYARD WRESTLING,53.85000038,49.00,0.00,0.00,0,5,0,7,268866,11.48,94.15%,38.50,311002,12.19
BACKYARD WRESTLING 2,48.04999924,48.50,11.48,11.48,0,4,2,14,31065,1.50,49.72%,29.00,102438,3.01
BAD BOYS: MIAMI TAKEDOWN,39.23333232,15.67,0.00,0.00,0,76,0,179,210758,2.54,55.53%,14.33,369115,4.58
BALDUR'S GATE: ALLIANCE,82.23333232,50.33,0.00,0.00,0,20,0,4,430033,15.93,77.13%,27.33,693334,20.65
BALDURS GATE: DARK ALLIANCE II,79.90000153,47.50,14.36,14.36,0,28,2,58,390126,18.55,96.91%,47.00,410191,19.14
BARBARIAN,68.30000305,42.00,0.00,0.00,0,9,0,7,43463,1.66,85.94%,34.00,56908,1.93
BARBIE HORSE ADVENTURES: WILD HO,40.29999924,44.50,0.00,0.00,0,6,0,6,169210,5.93,89.93%,32.50,201425,6.60
BASS FISHING DUEL,67.80000305,49.00,0.00,0.00,0,2,0,1,34872,1.58,71.63%,33.00,66502,2.21
BASS STRIKE,55.70000076,43.00,0.00,0.00,0,0,0,0,87716,3.12,83.96%,34.00,109655,3.72
BATEN KAITOS: ETERNAL,82.30000305,48.00,0.00,0.00,0,12,0,12,59951,2.90,61.29%,43.00,109691,4.74
BATMAN DARK TOMORROW,28.35000038,27.50,7.14,7.14,2,53,2,42,79770,2.04,81.84%,21.50,114901,2.50
BATMAN VENGEANCE,70.03333282,50.33,0.00,0.00,0,17,0,0,353305,14.74,89.18%,37.67,445552,16.53
BATMAN: RISE OF SIN TZU,61.90000025,26.00,14.74,14.74,2,84,3,92,190722,4.24,86.85%,20.67,228321,4.88
BATTLE ASSAULT 3,54.09999847,40.00,1.63,14.88,1,17,4,26,5862,0.23,46.72%,40.00,12552,0.50
BATTLE ENGINE AQUILA,74.20000076,37.50,0.00,0.00,0,18,0,27,18445,0.68,90.52%,34.50,22642,0.75
BATTLESTAR GALACTICA,65.95000076,50.00,0.00,0.00,0,0,0,9,80013,2.95,88.58%,34.00,99139,3.33
BEACH SPIKERS,76.59999847,48.00,0.00,0.00,0,2,0,0,50560,1.60,85.82%,28.00,66804,1.86
BEYBLADE:SUPER TRNMNT,44.79999924,30.00,0.00,0.00,0,3,0,7,115792,3.14,88.76%,26.00,134908,3.54
BEYOND GOOD & EVIL,87.60000102,41.33,0.00,0.00,0,84,0,92,197459,4.61,92.12%,23.00,227369,5.01
BICYCLE CASINO 2005,51.20000076,29.00,0.00,0.00,0,1,0,0,69402,2.00,61.17%,26.00,124398,3.28
BIG AIR FREESTYLE,54.40000153,39.00,0.00,0.00,0,11,0,3,14876,0.35,57.32%,21.00,29539,0.61
BIG MUTHA TRUCKERS,64.63333384,20.00,0.00,0.00,0,54,0,67,441859,8.68,90.80%,19.33,493014,9.56
BILLY HATCHER,72.30000305,39.00,0.00,0.00,0,17,0,17,149730,5.23,92.73%,34.00,168288,5.64
BIONICLE,44.76666641,39.67,0.00,0.00,0,84,0,92,268386,8.09,87.61%,29.00,323967,9.24
BLACK & BRUISED,64.84999847,28.50,0.00,0.00,0,0,0,8,52402,1.51,76.09%,21.00,90710,1.98
BLACK STONE: MAGIC,55.90000153,48.00,0.00,0.00,0,33,0,24,17072,0.81,87.03%,45.00,20638,0.93
BLADE 2,55.39999962,48.50,0.00,0.00,0,55,0,17,174508,7.13,93.56%,37.50,199015,7.62
BLINX 2: MASTERS TIME,70.19999695,39.00,0.00,0.00,0,12,0,22,21683,0.85,46.30%,26.00,71061,1.84
BLINX: TIME SWEEPER,73,47.00,0.00,0.00,0,9,0,2,233497,7.57,85.78%,29.00,304048,8.83
BLOOD OMEN 2,70.83333333,43.33,8.72,8.72,0,20,1,9,260808,10.90,94.05%,33.33,301563,11.59
BLOOD WAKE,70.19999695,50.00,0.00,0.00,0,0,0,0,259793,10.77,88.36%,36.00,335718,12.19
BLOOD WILL TELL,69.90000153,40.00,0.00,0.00,0,40,0,82,5804,0.23,55.67%,29.00,14400,0.41
BLOODRAYNE,70.53333028,50.00,0.00,0.00,0,69,0,20,255990,9.70,85.66%,30.00,361538,11.32
BLOODRAYNE 2,72.34999847,48.50,8.18,8.18,0,61,2,140,91915,4.48,73.16%,42.50,143431,6.12
BLOODY ROAR 3,69.80000305,51.00,0.00,0.00,0,2,0,4,73556,3.26,77.07%,36.00,118090,4.23
BLOODY ROAR 4,59.79999924,41.00,3.26,3.26,0,8,1,17,32138,1.15,92.75%,35.00,35420,1.24
BLOODY ROAR EXTREME,63.29999924,30.00,0.00,0.00,0,9,0,7,22126,0.66,92.77%,30.00,24008,0.72
BLOODY ROAR: PRIMAL,75.59999847,49.00,0.00,0.00,0,5,0,1,103608,4.95,93.79%,43.00,122231,5.28
BLOWOUT,56.83333333,14.00,0.00,0.00,0,41,0,72,93662,0.93,88.16%,11.67,107415,1.05
BMX XXX,57.29999924,50.67,0.00,0.00,0,37,0,24,127198,4.49,91.73%,29.33,159194,4.90
BOMBASTIC,75.30000305,31.00,0.00,0.00,0,1,0,6,12310,0.27,76.51%,19.00,18302,0.35
BOMBERMAN GENERATION,77.40000153,49.00,0.00,0.00,0,16,0,0,102477,4.85,87.43%,43.00,128659,5.54
BOMBERMAN JETTERS,66.80000305,20.00,4.85,4.85,0,16,1,35,35101,0.69,93.01%,19.00,38576,0.74
BOND 007 EVERYTHING OR NOTHING,84.5,40.00,70.07,145.54,3,76,6,179,991659,39.51,91.22%,36.33,1186823,43.32
BOND 007: NIGHTFIRE,80.5,49.00,47.75,47.75,2,21,1,11,1545067,69.39,86.35%,37.67,2091183,80.36
BOND: AGENT UNDER FIRE,73.03333282,47.67,0.00,0.00,2,19,0,4,1651154,76.15,82.51%,37.00,2453726,92.29
BREAKDOWN,73.09999847,31.00,0.00,0.00,0,21,0,58,51742,1.59,90.50%,28.00,62352,1.76
BREATH OF FIRE:DRAGON,76.69999695,39.00,0.00,0.00,0,15,0,28,59907,2.28,90.48%,34.00,75041,2.52
BRITNEY'S DANCE BEAT,61,36.00,0.00,0.00,0,4,0,3,80981,2.82,91.09%,32.00,96182,3.09
BROKEN SWORD: THE SLEEPING DRAGO,79.30000305,38.00,0.00,0.00,0,5,0,9,8893,0.26,93.17%,27.00,10280,0.28
BRUCE LEE: DRAGON,36.79999924,43.00,0.00,0.00,0,21,0,2,148550,5.82,90.22%,34.00,189514,6.45
BRUTE FORCE,78.09999847,44.00,0.00,0.00,0,7,0,2,401047,16.10,92.72%,36.00,480412,17.36
BUFFY VAMPIRE SLAYER,80.30000305,40.00,0.00,0.00,0,21,0,2,113548,4.20,90.10%,35.00,133651,4.67
BUFFY: CHAOS BLEEDS,74.40000153,39.67,11.10,4.20,0,84,1,92,130425,4.50,90.02%,34.67,154714,5.00
BUJINGAI: FORSAKEN,74,39.00,0.00,0.00,0,40,0,82,24490,0.95,82.84%,37.00,31131,1.14
BURNOUT,78.66666667,49.33,0.00,0.00,0,36,0,12,329136,14.00,75.99%,33.00,564216,18.42
BURNOUT 2: IMPACT,88.19999949,41.00,16.13,14.00,0,52,3,51,361100,14.23,72.25%,32.00,580412,19.70
BURNOUT 3: TAKEDOWN,93.40000153,49.00,12.19,22.94,0,24,4,98,559531,27.16,67.41%,39.50,1028777,40.29
BUST A MOVE 3000,60.70000076,40.00,0.00,0.00,0,0,0,5,5463,0.21,88.04%,38.00,6469,0.24
BUTT UGLY MARTNS:ZOOM,37,20.00,0.00,0.00,0,7,0,9,6102,0.09,80.94%,13.00,8151,0.11
C.A.R.T. FURY,61.79999924,45.00,0.00,0.00,0,7,0,3,50566,2.10,80.02%,35.00,75411,2.62
CABELA'S BIG GAME HUNT,60.70000076,31.00,0.00,0.00,0,0,0,0,363886,10.48,78.11%,24.00,556160,13.41
CABELA'S BIG GAME HUNTER 2005 AD,61.53333282,29.67,13.70,34.49,2,2,5,6,178596,5.25,57.20%,28.00,331372,9.17
CABELA'S DANGEROUS HUNTS,51,30.50,10.48,10.48,2,3,1,1,506532,13.70,83.68%,26.00,633914,16.37
CABELA'S DEER HUNT 2004,66.49999809,30.50,10.48,10.48,2,3,1,1,355259,10.32,90.80%,28.00,399311,11.36
CABELA'S DEER HUNT 2005 SEASON,61.60000038,29.50,13.70,34.49,2,2,5,6,140675,4.09,76.36%,27.50,193947,5.35
CALL OF DUTY: FINEST HOUR,75.26666768,45.00,0.00,0.00,0,18,0,58,1252561,55.50,80.46%,44.00,1579040,68.98
CAPCOM FIGHTING EVO,59.40000153,30.00,0.00,0.00,0,17,0,26,33233,0.99,57.10%,29.00,59405,1.73
CAPCOM VS SNK 2: EO,76.25,39.00,0.00,0.00,0,14,0,8,116509,4.19,92.01%,34.50,132478,4.56
CAPCOM VS SNK2:MLLNM,82.30000305,43.00,0.00,0.00,0,2,0,4,163321,6.76,92.66%,40.00,180269,7.30
CARMEN SANDIEGO: THE SECRET OF T,54.4666659,17.67,0.00,0.00,0,18,0,16,14756,0.26,55.86%,15.67,29854,0.47
CARVE,65.09999847,14.00,0.00,0.00,0,14,0,36,25246,0.37,89.79%,14.00,29716,0.41
CASPER: SPIRIT,56.79999924,37.00,0.00,0.00,0,24,0,1,50198,1.77,81.69%,27.00,69543,2.17
CASTLE SHIKIGAMI 2,64,10.00,0.29,0.29,0,5,1,15,2171,0.02,41.87%,10.00,5298,0.05
CASTLEVANIA: LAMENT,79.69999695,49.00,0.00,0.00,0,31,0,50,322866,13.23,94.05%,39.00,361123,14.07
CATWOMAN,49.56666692,25.33,0.00,0.00,0,76,0,179,89582,2.29,82.09%,23.33,119481,2.79
CEL DAMAGE,65.30000305,43.00,0.00,0.00,0,8,0,0,97615,3.81,92.19%,36.00,113555,4.13
CELEBRITY DEATH MATCH,38.35000038,20.00,0.00,0.00,0,5,0,7,334801,5.95,87.96%,17.00,403079,6.77
CHAMPS NORRATH:REALMS,85.19999695,38.00,29.84,5.30,0,20,2,44,317816,12.13,84.85%,33.00,431972,14.29
CHAOS LEGION,66.59999847,48.00,0.00,0.00,0,15,0,28,99248,4.34,92.23%,40.00,117330,4.71
CHARLIES ANGELS,23.60000038,30.00,0.00,0.00,0,20,0,18,8694,0.24,83.68%,26.00,11159,0.29
CHASE: STUNT DRIVER,66.80000305,36.00,0.00,0.00,0,10,0,4,42736,1.08,74.70%,21.00,70147,1.44
CHESSMASTER,77.45000076,20.50,0.00,0.00,0,2,0,2,141996,2.93,67.85%,20.00,217233,4.31
CHORO Q,58.29999924,14.00,0.00,0.00,0,10,0,62,1851,0.03,47.07%,13.00,4009,0.05
CHRONICLES OF RIDDICK: ESCAPE FR,88.40000153,44.00,0.00,0.00,0,11,0,19,211690,9.21,93.93%,42.00,232845,9.81
CIRCUS MAXIMUS,63.90000153,42.00,0.00,0.00,0,4,0,3,32536,1.33,91.07%,35.00,41964,1.46
CITY CRISIS,61.90000153,46.00,0.00,0.00,0,23,0,4,32073,1.26,78.85%,32.00,50459,1.60
CITY RACER,54.29999924,40.00,0.00,0.00,0,17,0,8,3738,0.15,81.87%,40.00,4571,0.18
CLANCY COMPANION DISC,,4.00,55.96,89.60,2,7,2,2,64718,0.26,87.63%,4.00,75885,0.30
"CLASSIC MONSTERS, INC",,18.00,4.49,4.49,0,25,1,42,34288,0.63,68.00%,19.00,49852,0.93
CLASSIC STITCH:EXPMNT,,20.00,0.00,0.00,0,25,0,42,18215,0.36,71.85%,19.00,25774,0.50
CLOCK TOWER 3,69.69999695,34.00,0.00,0.00,0,5,0,9,58361,1.89,88.52%,28.00,76539,2.14
COLIN MCRAE RALLY 04,85.90000153,21.00,0.88,0.88,1,14,1,36,58201,1.23,96.22%,21.00,60898,1.28
COLIN MCRAE RALLY 2005,83.5,30.00,0.88,0.88,1,14,1,36,14945,0.45,67.45%,28.00,23550,0.66
COLIN MCRAE RALLY 3,85.5,48.50,0.00,0.00,0,37,0,59,38730,1.83,93.25%,44.50,44345,1.97
COMMANDOS 2: MEN OF COURAGE,72.04999924,45.00,0.00,0.00,0,2,0,1,93676,3.62,90.95%,35.50,111662,3.98
CONFLICT ZONE,57.20000076,21.00,0.00,0.00,0,2,0,1,70716,1.43,85.84%,20.00,83727,1.67
CONFLICT: DESERT STORM,72.5,42.67,0.00,0.00,0,6,0,1,728612,29.58,79.90%,29.67,1139554,37.02
CONFLICT: DESERT STORM 2,73.63333384,48.33,29.58,29.58,0,25,3,45,430324,20.09,92.71%,46.33,475059,21.67
CONFLICT: VIETNAM,65.70000076,37.50,0.00,0.00,0,8,0,18,220709,8.28,76.96%,37.00,292053,10.76
CONTRA:SHATTERED SLDR,76.19999695,49.00,0.00,0.00,0,14,0,10,215568,10.17,95.33%,46.00,230240,10.67
COOL BOARDERS 2001,75.40000153,49.00,0.00,0.00,0,10,0,3,98492,4.45,85.26%,40.00,131511,5.22
CORVETTE,52.89999962,15.00,0.00,0.00,0,30,0,77,425286,4.73,79.33%,12.00,551873,5.96
COUNTER STRIKE,73.19999695,49.00,0.00,0.00,0,7,0,2,442362,16.94,87.74%,35.00,555558,19.31
CRASH BANDICOOT: CORTEX,67,43.67,0.00,0.00,0,33,0,3,1078334,36.86,59.68%,24.00,2405324,61.75
CRASH 'N' BURN,64.20000076,16.50,0.00,0.00,0,3,0,32,77734,1.28,59.44%,17.00,125269,2.15
CRASH NITRO KART,65.1666654,47.00,36.86,36.86,0,54,3,67,641801,23.01,86.12%,31.33,828141,26.72
CRASH: TWINSANITY,66.29999924,46.50,19.20,51.94,0,37,4,64,207609,9.57,75.95%,41.50,303397,12.59
CRAZY TAXI,74.65000153,48.50,0.00,0.00,0,26,0,4,485884,19.27,59.75%,27.50,1200402,32.25
CRAZY TAXI 3,69.80000305,41.00,0.00,0.00,0,10,0,4,87076,3.27,87.69%,35.00,107081,3.73
CRIMSON SEA,77.59999847,50.00,0.00,0.00,0,21,0,2,25303,1.21,93.16%,43.00,29948,1.30
CRIMSON SEA 2,74.80000305,49.00,0.00,0.00,0,40,0,82,20965,1.02,90.43%,46.00,24680,1.13
CRIMSON SKIES: HIGH,89.80000305,49.00,0.00,0.00,0,1,0,2,382502,15.33,87.43%,37.00,470534,17.53
CRIMSON TEARS,63.29999924,39.00,0.00,0.00,0,40,0,82,7036,0.28,80.80%,33.00,10286,0.34
CROUCHING TIGER,49.35000038,30.00,0.00,0.00,0,64,0,74,43773,1.18,88.16%,22.00,52968,1.34
CSI: CRIME SCENE,43.20000076,20.00,0.00,0.00,0,5,0,15,15858,0.31,26.18%,20.00,60093,1.20
CUBIVORE,72,44.00,0.00,0.00,0,1,0,0,9466,0.40,90.95%,40.00,10784,0.44
CUBIX ROBOTS FOR EVERYONE: SHOWD,57.29999924,,0.00,0.00,0,15,0,39,0,0.00,0.00%,8.00,264,0.00
CULDCEPT,81.30000305,42.00,0.00,0.00,0,1,0,0,8514,0.33,91.81%,35.00,10143,0.36
CURSE: THE EYE OF ISIS,60.59999847,,0.00,0.00,0,3,0,4,3890,0.08,96.63%,20.00,4066,0.08
CUSTOM ROBO,65.80000305,39.00,0.00,0.00,0,0,0,2,158577,6.26,91.64%,39.00,175303,6.83
CY GIRLS,56.40000153,32.00,0.00,0.00,0,40,0,82,11099,0.36,90.40%,30.00,13296,0.40
DAKAR 2: ULTIMATE RALLY,67.40000153,23.50,0.00,0.00,0,37,0,23,26134,0.57,86.41%,22.00,30656,0.66
DANCE DANCE REVOLUTION EXTREME,77.40000153,49.00,35.19,68.04,2,26,6,38,444687,20.96,59.71%,49.00,731749,35.11
DANCE DANCE REVOLUTION MAX 2,82.69999695,51.00,21.36,21.36,2,20,2,16,530675,23.34,74.87%,49.00,743476,31.18
DANCE DANCE REVOLUTION ULTRAMIX,81.19999695,50.50,11.57,18.36,2,8,4,6,141284,7.46,66.51%,50.50,225028,11.22
DARK ANGEL: VAMPIRE,50.29999924,49.00,0.00,0.00,0,12,0,4,23220,1.07,86.00%,39.00,32076,1.24
DARK CLOUD,78.30000305,50.00,0.00,0.00,0,12,0,4,359504,14.97,70.47%,32.00,668589,21.25
DARK CLOUD 2,88.40000153,39.00,14.97,14.97,0,15,1,28,247911,9.69,93.50%,38.00,272936,10.36
DARK SUMMIT,68.30000051,43.33,0.00,0.00,0,27,0,6,124326,4.05,83.91%,28.00,171300,4.82
DARKENED SKYE,64,50.00,0.00,0.00,0,4,0,0,6219,0.17,84.61%,25.00,7760,0.20
DAVE MIRRA BMX 2,76.76666768,49.67,0.00,0.00,0,18,0,3,502652,20.20,80.58%,31.33,794828,25.06
DDR ULTRAMIX,81.59999847,42.00,0.00,0.00,1,2,0,0,142414,5.78,79.43%,35.00,208171,7.28
DDR ULTRAMIX BUNDLE,,65.00,0.00,0.00,1,2,0,0,52571,3.40,97.88%,65.00,53721,3.47
DDRMAX DANCE REVOLUTN,87.19999695,41.00,0.00,0.00,0,4,0,3,261060,10.68,52.32%,36.00,572443,20.41
DEAD MAN'S HAND,59.79999924,27.00,0.00,0.00,0,11,0,19,59407,1.61,92.54%,27.00,65340,1.74
DEAD OR ALIVE 2,86.19999695,50.00,0.00,0.00,0,3,0,0,149488,7.30,70.13%,43.00,243190,10.41
DEAD OR ALIVE 3,85.69999695,49.00,0.00,0.00,0,1,0,0,610912,29.16,80.69%,39.00,921690,36.13
DEAD OR ALIVE ULTMATE,83.09999847,47.00,11.16,40.32,0,8,2,17,130776,6.19,76.42%,46.00,177115,8.10
DEAD TO RIGHTS,74.90000153,49.33,0.00,0.00,0,69,0,20,832647,36.06,90.66%,38.33,1019682,39.77
DEATHROW,80.09999847,48.00,0.00,0.00,0,1,0,0,31501,1.11,91.42%,33.00,37368,1.22
DEER HUNTER,,30.00,0.00,0.00,0,2,0,1,96552,2.59,94.69%,26.00,103567,2.74
DEF JAM VENDETTA,82.40000153,45.00,0.00,0.00,0,5,0,7,689917,31.01,89.33%,36.50,891267,34.71
DEF JAM: FIGHT FOR NY,84.40000153,48.67,31.01,31.01,0,27,2,54,525394,25.41,74.98%,39.67,837716,33.88
DEFENDER,70.26666768,34.67,0.00,0.00,0,5,0,3,180922,4.45,77.49%,20.67,274858,5.74
DESTRUCT DERBY ARENAS,61.20000076,33.00,0.00,0.00,0,2,0,17,38950,1.28,87.25%,33.00,45094,1.47
DEUS EX 2: INVISIBLE WAR,85.30000305,49.00,0.00,0.00,0,10,0,8,172147,7.10,97.33%,39.00,186598,7.29
DEUS EX: CONSPIRACY,82.69999695,48.00,0.00,0.00,0,8,0,10,61317,2.83,89.99%,39.00,80833,3.14
DEVIL MAY CRY,92.30000305,51.00,0.00,0.00,0,4,0,0,764858,32.10,83.16%,35.00,1097558,38.60
DEVIL MAY CRY 2,71.40000153,47.00,32.10,32.10,0,5,1,9,391794,18.10,93.05%,42.00,462087,19.45
DIE HARD: VENDETTA,62.5,50.00,0.00,0.00,0,7,0,0,45283,1.21,75.28%,21.00,74923,1.61
